Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-08-26,Boys State,2020,https://boxd.it/1jTeVT,4,Yes,,2020-08-25
2021-01-16,Brokeback Mountain,2005,https://boxd.it/1AMPup,4,Yes,,2021-01-15
2021-01-22,When They See Us,2019,https://boxd.it/1BDDNl,,,,2021-01-20
2021-01-22,When They See Us,2019,https://boxd.it/1BDDXb,,,,2021-01-21
2021-01-24,When They See Us,2019,https://boxd.it/1BTPGt,,,,2021-01-23
2021-03-07,Gabby!,2020,https://boxd.it/1HTCR3,4,Yes,,2021-03-06
2021-03-07,Night Drive,2019,https://boxd.it/1HTD0p,2.5,Yes,,2021-03-06
2021-03-17,The Ides of March,2011,https://boxd.it/1JecK7,,,,2021-03-16
2021-03-24,The History of Time Travel,2014,https://boxd.it/1Kbu6H,2,,,2021-03-23
2021-04-28,Star Trek: The Motion Picture,1979,https://boxd.it/1PbY97,2.5,Yes,,2021-04-27
2021-08-15,The Village,2004,https://boxd.it/24kg6L,5,Yes,,2021-08-14
2021-12-24,You Can't Take It with You,1938,https://boxd.it/2nW6tR,4.5,,,2021-12-23
2022-04-14,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/2KF6oZ,3,Yes,"television at a bar, max",2022-04-13
2022-06-06,TRON: Legacy,2010,https://boxd.it/2Ua2Wr,4,,,2022-06-05
2022-08-08,Liar Liar,1997,https://boxd.it/36LHR5,4,,,2022-08-07
2023-02-13,Weekend,2011,https://boxd.it/3QBlBD,,,,2023-02-12
2023-09-12,Elevation,2024,https://boxd.it/4PSoDv,,,in theaters,2023-09-06
2023-11-27,Midsommar,2019,https://boxd.it/5e4O13,5,Yes,youtube,2023-11-26
2024-03-02,Dune: Part Two,2024,https://boxd.it/5XhrJR,5,Yes,"imax, in theaters",2024-03-02
2025-04-26,Midsommar,2019,https://boxd.it/9w0IVl,5,Yes,youtube,2025-04-25
2025-06-29,The Day the Earth Blew Up: A Looney Tunes Movie,2024,https://boxd.it/a9HVpJ,,,"garbage, max",2025-06-28
2026-02-15,"Dr. Mabuse, the Gambler",1922,https://boxd.it/d87uFN,3.5,,,2026-02-14
