Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-08-06,Call Me by Your Name,2017,https://boxd.it/Mn5qB,4.5,,in theaters,2017-08-05
2021-04-29,Blade Runner 2049,2017,https://boxd.it/1Pjsv7,5,,in theaters,2017-10-05
2021-03-03,After Her,2018,https://boxd.it/1Hl6fX,2,,dust,2019-06-13
2020-04-15,Midsommar,2019,https://boxd.it/15mZTN,5,,,2019-07-03
2020-08-31,Midsommar,2019,https://boxd.it/1kqPxb,5,Yes,,2019-09-01
2021-03-03,World Builder,2007,https://boxd.it/1Hlewx,3,,dust,2019-11-12
2020-05-06,A Beautiful Day in the Neighborhood,2019,https://boxd.it/17Zv9V,3,,in theaters,2019-11-28
2021-03-03,Regulation,2019,https://boxd.it/1HleWb,3.5,,dust,2019-12-19
2021-03-03,Invaders,2018,https://boxd.it/1Hlfht,3.5,,dust,2019-12-25
2020-05-10,Parasite,2019,https://boxd.it/18vSHF,4.5,,in theaters,2020-01-02
2020-03-16,The Invisible Man,2020,https://boxd.it/11Pp3X,3,,in theaters,2020-02-28
2021-03-03,Snapdragons,2016,https://boxd.it/1Hlgb7,4,,dust,2020-03-05
2020-03-17,The Hunt,2020,https://boxd.it/11VjyR,3,,in theaters,2020-03-15
2020-03-23,Burning,2018,https://boxd.it/12yWo5,4,,,2020-03-20
2020-03-23,The Report,2019,https://boxd.it/12zNWz,3,,,2020-03-22
2020-03-31,Your Name.,2016,https://boxd.it/13tekH,3,,,2020-03-26
2020-03-29,Manchester by the Sea,2016,https://boxd.it/13hgCp,4.5,,,2020-03-28
2020-04-30,Trouble Every Day,2001,https://boxd.it/17dX2d,2.5,,,2020-03-28
2021-03-04,Watchmen,2019,https://boxd.it/1HqbPh,3.5,,,2020-03-28
2020-03-31,Portrait of a Lady on Fire,2019,https://boxd.it/13tbdD,3.5,,,2020-03-29
2020-04-01,Vivarium,2019,https://boxd.it/13EFJ7,3.5,,,2020-03-31
2020-04-30,High Life,2018,https://boxd.it/17dXph,5,,,2020-04-08
2020-04-10,The Rover,2014,https://boxd.it/14JdQt,4,,,2020-04-09
2020-04-15,The Lobster,2015,https://boxd.it/15q5OP,2,,,2020-04-14
2020-04-15,Under the Silver Lake,2018,https://boxd.it/15rV5J,3,,,2020-04-15
2020-04-16,The Squid and the Whale,2005,https://boxd.it/15uXcX,2.5,,,2020-04-15
2020-04-25,We Need to Talk About Kevin,2011,https://boxd.it/16DFMP,4,,,2020-04-24
2020-04-27,The Kill Team,2019,https://boxd.it/16TgGf,3.5,,,2020-04-26
2020-04-30,A Ghost Story,2017,https://boxd.it/17fOil,4,,,2020-04-29
2020-05-02,Krisha,2015,https://boxd.it/17u5sb,1.5,,,2020-05-01
2020-05-03,Laurence Anyways,2012,https://boxd.it/17zUgZ,3,,mubi,2020-05-02
2020-05-08,Mandy,2018,https://boxd.it/18go1z,4,,,2020-05-07
2020-05-10,Coherence,2013,https://boxd.it/18rdAb,3.5,,,2020-05-09
2020-05-11,The Invitation,2015,https://boxd.it/18DoWr,2.5,,,2020-05-10
