Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-03-16,The Invisible Man,2020,https://boxd.it/11Pp3X,3,,"The set design looks expensive. 
Elizabeth Moss looks expensive.
I was surprised twice during this movie, both times related to the main character's sister. It confused me to the point of bothering me that an unexplained email that she takes as gospel and performs absolutely zero follow-up is actually sufficient enough to dissolve their relationship entirely. When I realized her sister slammed the door in her face without question, I was surprised by the affect of the loneliness of the protagonist. The second surprise was when the sister died because that moment is fucking insane.",in theaters,2020-02-28
2020-03-23,The Report,2019,https://boxd.it/12zNWz,3,,"Cautiously optimistic about the future of history, THE REPORT breathes cinematic life into the political intrigue in behind-the-scenes D.C while bringing humanity to the forefront.",,2020-03-22
2020-04-01,Vivarium,2019,https://boxd.it/13EFJ7,3.5,,"stylistic and interesting 
risky narrative choices 
wonderful performance from Poots",,2020-03-31
2020-04-10,The Rover,2014,https://boxd.it/14JdQt,4,,"Of Mice and Men mixed with Mad Max/No Country For Old Men. Amazing soundtrack, very well designed. Robert Pattinson has taken the most interesting roles in recent memory. Pearce’s performance must have inspired Henry Cavill’s tough guy persona in The Witcher.",,2020-04-09
2020-04-26,Beautiful Boy,2018,https://boxd.it/16KxOx,2.5,,"I do love crying, so I would recommend a viewing if you need to let it out.",,
2020-04-30,A Ghost Story,2017,https://boxd.it/17fOil,4,,"The unique loneliness who accompanies grief is the longing for the love no longer there.

Beautiful film about death.",,2020-04-29
2020-05-08,Mandy,2018,https://boxd.it/18go1z,4,,"MANDY is some kinda monster movie

Nic Cage at his best, really, and it has taken me almost all my life to find a movie where his acting makes sense to me. This is it. This is the one.

https://twitter.com/themichaellamb/status/1258593751414575104",,2020-05-07
2020-05-10,Coherence,2013,https://boxd.it/18rdAb,3.5,,surprisingly fun,,2020-05-09
2020-05-17,The Ritual,2017,https://boxd.it/19kfKd,1,,yikes,,2020-05-16
2020-06-03,The Social Network,2010,https://boxd.it/1bd7At,2.5,Yes,"What strikes me as shockingly relevant is just how good a propaganda machine Hollywood has become. Mark Zuckerberg set his best friend up to lose control of the company they started together and he passively aggressively values Saverin's contribution at 0.03 percent! What a fuckwad.

I don't care that he wants to be nice to his ex-girlfriend now. He is cryptic beyond necessity. It's obvious he just wants everyone to like him.",,2020-06-02
2020-06-03,Moonlight,2016,https://boxd.it/1beisd,5,Yes,Beautiful picture to revisit. ,,2020-06-03
2020-06-05,BlacKkKlansman,2018,https://boxd.it/1bqBPf,4,Yes,"agitprop at its most necessary time

I am thankful for black art

Black Lives Matter",,2020-06-04
2020-06-06,The Last Black Man in San Francisco,2019,https://boxd.it/1bwdxX,5,,"Black American Folk like I've never seen it before. Truly unique in perspective, truly unified in humanity.",,2020-06-05
2020-08-07,Relic,2020,https://boxd.it/1hTIb9,2.5,,"I did not have a good time. As far as parables go, this one doesn’t have a real conclusion. Another postmodern attempt at originality.",,2020-08-06
2020-09-01,Tenet,2020,https://boxd.it/1kAICD,3.5,,Don’t try to understand it,"in theaters, imax",2020-08-31
2020-09-26,Good Time,2017,https://boxd.it/1n7S9Z,4,,"I saw UNCUT GEMS first, and I hated it. I saw GOOD TIME second, and I loved it.",,2020-09-25
2020-10-14,A Ghost Story,2017,https://boxd.it/1p5kaD,4,Yes,I watched with friends this time. It’s probably better as a solo viewing.,,2020-10-13
2020-10-20,Midsommar,2019,https://boxd.it/1pK3NP,5,Yes,"This was a virgin watch of the Ultra HD Director’s Cut to break in my new screen. 

Check out <a href=""https://medium.com/p/62dd8a164a72?source=linkShare-8d2d4c291788-1603172089"">my essay on tbe lore of the film. </a>",,2020-10-20
2020-10-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/1q1R6P,2,,It’s nice,,2020-10-22
2020-10-30,The Disaster Artist,2017,https://boxd.it/1qPzK3,2.5,,It’s fucked up but that’s friendship I guess,,2020-10-29
2020-10-30,Unorthodox,2020,https://boxd.it/1qRObB,4,,"If deeply held beliefs are rooted in love, this show deconstructs out of the same soil. Beautiful story.",,2020-10-29
2020-10-31,Black Mirror: The Entire History of You,2011,https://boxd.it/1qVQMx,5,,This is my favorite <i>Black Mirror</i>.,,2020-10-30
2020-11-03,The Trial of the Chicago 7,2020,https://boxd.it/1rmZtt,4,Yes,Since the 2020 election is this week I just wanted to get myself in the right headspace so that when I eventually go to court for being an antifa anarchist I'll remember to look for the subtle ways to stick it to the man.,,2020-11-01
2020-11-04,An American Pickle,2020,https://boxd.it/1rvhTl,5,,"Honestly perfect

You can pickle anything",,2020-11-03
2020-11-05,Midsommar,2019,https://boxd.it/1rAegZ,5,Yes,This viewing was a special screening of the director’s cut for Bryson and Jake.,,2020-11-04
2020-11-11,Boys State,2020,https://boxd.it/1saJEP,4,Yes,"Film screening hosted for the Jackson Film Club. 

A crowd pleaser, with fun reminders of what was possible when 1200+ people could attend the same event.","jxnfilmclub, merry",2020-11-10
2020-11-12,Enola Holmes,2020,https://boxd.it/1sgEcD,2,,Henry Cavill is not shirtless enough,,2020-11-11
2020-11-14,Midsommar,2019,https://boxd.it/1srMPv,5,Yes,"Another screening with Hunter, Tori, and Caleb",,2020-11-13
2020-11-15,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",2020,https://boxd.it/1syvi9,4,,This show is perfect. This documentary is lovely.,,2020-11-14
2020-11-15,My Neighbor Totoro,1988,https://boxd.it/1syPsD,4.5,,Let’s laugh to keep the boogeymen away.,,2020-11-14
2020-11-16,Baby Driver,2017,https://boxd.it/1sCvrX,3.5,,Ridiculously fun,,2020-11-15
2020-11-16,Call Me by Your Name,2017,https://boxd.it/1sEyk5,4.5,Yes,I’m reliving 2017 presently. I need more Luca Guadagnino in my life.,,2020-11-15
2020-11-16,Suspiria,2018,https://boxd.it/1sFg6L,3.5,,"It must be terribly surreal, being a woman. 

Tilda Swinton is incredible. 
Dakota Johnson terrifies me.",,2020-11-15
2020-11-17,Primer,2004,https://boxd.it/1sLMEd,3,Yes,"Shared this with Chris and Stephanie 

I loved Chris’ commentary: “this is the sci fi version of summoning something bad”",,2020-11-16
2020-11-18,Office Space,1999,https://boxd.it/1sRwmf,3,,During the pandemic this weirdly feels like a vacation.,,2020-11-17
2020-11-19,Locke,2013,https://boxd.it/1sWQE9,3,,Tom Hardy is a god damn actor. If you ever want to stare at his face and listen to his voice for 90 minutes this is the movie for you.,,2020-11-18
2020-11-21,If Anything Happens I Love You,2020,https://boxd.it/1t5coj,4,,I wept.,,2020-11-20
2020-11-21,Hunt for the Wilderpeople,2016,https://boxd.it/1t85RJ,3.5,,"Joel mentioned this film.
  hilarious eulogy. 
I want to birdwatch.


Ricky Baker is my idol",,2020-11-20
2020-11-27,The Christmas Chronicles,2018,https://boxd.it/1tLDvP,2,,"Happy thanksgiving


Christmas must endure",,2020-11-26
2020-12-06,Mank,2020,https://boxd.it/1uOD37,4,,This film is decorated with delightful details and is like a well-brewed ale: a little bitter and a bit sweeter.,,2020-12-05
2020-12-07,Snowden,2016,https://boxd.it/1uWCqb,2,,"Oof. 
So unbelievable it reads like a rom com at times. 
Also takes itself way too seriously. 

I really wanted to like this, especially because of JGL. The use of Timothy Olyphant feels like some targeted manipulation (a little misguided though not too far off). What the hell is going on in this narrative?",,2020-12-06
2020-12-07,Coherence,2013,https://boxd.it/1uZcoz,3.5,Yes,Shared with Chris and Steph,,2020-12-06
2020-12-14,Persona,1966,https://boxd.it/1vJ9t9,5,,Big questions,,2020-12-13
2020-12-16,Hereditary,2018,https://boxd.it/1vXaQV,4,Yes,"<b>Reactions from first timers:</b>
“I don’t know if regret is the right word.” - Mary Heath
“I still don’t know what to think.” - Ben Wilson

Becca & Myles were also present.","jxnfilmclub, merry",2020-12-15
2020-12-22,Midsommar,2019,https://boxd.it/1wEBi3,5,Yes,Happy winter solstice!,,2020-12-21
2020-12-25,Ma Rainey's Black Bottom,2020,https://boxd.it/1wZXER,4.5,,Two phenomenal characters. One incredible film.,,2020-12-24
2020-12-26,Devs,2020,https://boxd.it/1xgtRl,5,Yes,"Upon second viewing, this is everything I wanted it to be. Bravo, Alex Garland.",,2020-12-26
2020-12-28,An American Pickle,2020,https://boxd.it/1xBp89,5,Yes,Shared with my mom and my sister.,shelby,2020-12-27
2020-12-31,Free Solo,2018,https://boxd.it/1y8nvL,3.5,,This dude does not love anything more than climbing rocks,,2020-12-30
2021-01-02,1BR,2019,https://boxd.it/1yv5BR,3,,I guess this is my first film of the new year,,2021-01-01
2021-01-03,Upgrade,2018,https://boxd.it/1yJt3n,4,,This aged well.,,2021-01-02
2021-01-06,Hereditary,2018,https://boxd.it/1zg5Yv,4,Yes,First watch with Shelby,shelby,2021-01-05
2021-01-06,Spirited Away,2001,https://boxd.it/1zggmH,5,Yes,"Happy 80th birthday, Hayao Miyazaki. This film in particular means so much to me. Thank you.",,2021-01-05
