Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-07-26,Goodnight Darling,2021,,3.5,,yes honey,"youtube, alter",2021-07-26
2021-08-17,Identikit,2016,,,,what,youtube,2021-08-16
2021-11-22,Mr. Robot: Decoded,2016,,5,,"Came for the authentic depictions of hacking 
Stayed for the fantastic filmmaking and rich storytelling",,2021-11-21
2022-01-25,The Backrooms,2022,,4.5,,"I don’t know why they don’t tell you but <a href=""https://youtu.be/H4dGpz6cnHo"">you can watch this for free on YouTube</a>.",youtube,2022-01-18
2022-03-04,POLYBIUS - The Video Game That Doesn't Exist,2017,,4.5,,POLYBIUS,youtube,2022-03-04
2022-11-13,Making ‘Mr. Robot’,2018,,5,Yes,"I’m using this Letterboxd film to rate the series as a whole. 

The final three episodes should be watched closely together, perhaps even in one sitting if you don’t have a bladder like mine. I had real tears, feeling the finality in the line, “I want you to know, I love you.” Everything is cinematic, and I love Sam Esmail’s creative streak in the visual storytelling he does as the show runner.

M83’s “Outro” is used to perfection here. 

This was my first time watching MR ROBOT since it concluded with its fourth season back in 2019. I highly recommend it.",primevideo,2022-11-12
2023-06-17,TDF Really Works,2011,,,,oh my good god don’t watch this,youtube,2023-06-16
2023-09-25,Minecraft: The Story Of Minecraft,2015,,2,,Imagine knowing the creator of Minecraft is out there and you make the conscious choice to ignore him and act like this game just popped up ex nihilo,youtube,2023-09-24
2025-05-26,The Rehearsal: My Controls,2025,,5,,i'm glad this exists,max,2025-05-26
2026-01-10,Snow Angel,2022,,3.5,,cool,youtube,2026-01-09
