Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-07,JXNFC: Mary Heath's Top 20,,https://boxd.it/5s0fW,Mary's choices include good cinema and childhood favorites.

Position,Name,Year,URL,Description
1,Inception,2010,https://boxd.it/1skk,
2,It's a Wonderful Life,1946,https://boxd.it/28xA,
3,Pride & Prejudice,2005,https://boxd.it/24u8,
4,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
5,Interstellar,2014,https://boxd.it/4VZ8,
6,Arrival,2016,https://boxd.it/aNGk,
7,About Time,2013,https://boxd.it/43bI,
8,Spirited Away,2001,https://boxd.it/2b4m,
9,Mulan,1998,https://boxd.it/1VFw,
10,Never Let Me Go,2010,https://boxd.it/Xw0,
11,Dune,2021,https://boxd.it/fA7G,
12,Anastasia,1997,https://boxd.it/1YFk,
13,Inside Out,2015,https://boxd.it/4KHC,
14,Alien,1979,https://boxd.it/2awY,
15,Atonement,2007,https://boxd.it/24ui,
16,Loving Vincent,2017,https://boxd.it/biIQ,
17,National Treasure,2004,https://boxd.it/27x0,
18,Little Miss Sunshine,2006,https://boxd.it/29EW,
19,To Kill a Mockingbird,1962,https://boxd.it/2a2E,
20,Glory Road,2006,https://boxd.it/1XwQ,
