Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-06,JXNFC: Matthew Goins Top 20,top20,https://boxd.it/dj2wu,

Position,Name,Year,URL,Description
1,Arrival,2016,https://boxd.it/aNGk,
2,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
3,The Karate Kid,1984,https://boxd.it/27Wk,
4,The Empire Strikes Back,1980,https://boxd.it/27Vw,
5,Spider-Man,2002,https://boxd.it/2a8i,
6,The Mask of Zorro,1998,https://boxd.it/1YVi,
7,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
8,It's a Wonderful Life,1946,https://boxd.it/28xA,
9,The Prestige,2006,https://boxd.it/293w,
10,No Country for Old Men,2007,https://boxd.it/21ew,
11,Ocean's Eleven,2001,https://boxd.it/2aZm,
12,The Social Network,2010,https://boxd.it/17ue,
13,The Dark Knight,2008,https://boxd.it/2b0k,
14,Braveheart,1995,https://boxd.it/2aTI,
15,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,
16,Superbad,2007,https://boxd.it/20hO,
17,Ex Machina,2015,https://boxd.it/7T2k,
18,Stagecoach,1939,https://boxd.it/297S,
19,Clueless,1995,https://boxd.it/1Ygk,
20,Cast Away,2000,https://boxd.it/20i8,
