Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-08,JXNFC: Sarah Beth Montgomery's Top 20,top20,https://boxd.it/Rw0RG,

Position,Name,Year,URL,Description
1,Reservoir Dogs,1992,https://boxd.it/2agc,
2,When Harry Met Sally...,1989,https://boxd.it/29W2,
3,Summertime,1955,https://boxd.it/DPw,
4,Now and Then,1995,https://boxd.it/1Z7I,
5,Arthur,1981,https://boxd.it/1PGe,
6,Romeo + Juliet,1996,https://boxd.it/2ama,
7,Life Is Beautiful,1997,https://boxd.it/29Wm,
8,The Hundred-Foot Journey,2014,https://boxd.it/6JBi,
9,The Kid,1921,https://boxd.it/1X5U,
10,The Jerk,1979,https://boxd.it/21EO,
11,Lonesome Dove,1989,https://boxd.it/9ymM,
12,Bridget Jones's Diary,2001,https://boxd.it/29WQ,
13,Fried Green Tomatoes,1991,https://boxd.it/28qY,
14,It Takes Two,1995,https://boxd.it/1f1E,
15,The Parent Trap,1998,https://boxd.it/1XJq,
16,The Reader,2008,https://boxd.it/20Dq,
17,Uptown Girls,2003,https://boxd.it/1N64,
18,Singin' in the Rain,1952,https://boxd.it/29oY,
19,What About Bob?,1991,https://boxd.it/1WEk,
20,American Psycho,2000,https://boxd.it/28Vs,
