Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-10,JXNFC: Matthew Lewis' Top 20,,https://boxd.it/eSyBA,"Top 20 breakdown episode available now on <a href=""https://anchor.fm/jxnfilmclub/episodes/Top-20-Breakdown-Matthew-Lewis-e1fmato"">JXN Film Club The Podcast</a>"

Position,Name,Year,URL,Description
1,Dune,2021,https://boxd.it/fA7G,
2,No Country for Old Men,2007,https://boxd.it/21ew,
3,Return of the Jedi,1983,https://boxd.it/27Vm,
4,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
5,Star Wars,1977,https://boxd.it/72s,
6,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
7,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
8,The Dark Knight,2008,https://boxd.it/2b0k,
9,Blade Runner,1982,https://boxd.it/2bcA,
10,Hereditary,2018,https://boxd.it/hNVe,
11,Dunkirk,2017,https://boxd.it/d0Y6,
12,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
13,Inception,2010,https://boxd.it/1skk,
14,Manchester by the Sea,2016,https://boxd.it/b2L0,
15,Knives Out,2019,https://boxd.it/jWEA,
16,Helvetica,2007,https://boxd.it/1Qn8,
17,"Monsters, Inc.",2001,https://boxd.it/2a46,
18,Finding Nemo,2003,https://boxd.it/72i,
19,The Incredibles,2004,https://boxd.it/1XLm,
20,National Treasure,2004,https://boxd.it/27x0,
