Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-19,JXNFC: Hannah Hebinck Hubbell's Top 20,top20,https://boxd.it/RTh7m,

Position,Name,Year,URL,Description
1,The Shawshank Redemption,1994,https://boxd.it/2aHi,
2,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
3,Interview with the Vampire,1994,https://boxd.it/29XO,
4,Napoleon Dynamite,2004,https://boxd.it/20wu,
5,The Lion King,1994,https://boxd.it/201Q,
6,Moulin Rouge!,2001,https://boxd.it/29wI,
7,The Princess Bride,1987,https://boxd.it/26EY,
8,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
9,Legends of the Fall,1994,https://boxd.it/24ho,
10,Coming to America,1988,https://boxd.it/1Ygu,
11,Inception,2010,https://boxd.it/1skk,
12,Batman Returns,1992,https://boxd.it/2awa,
13,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
14,The Empire Strikes Back,1980,https://boxd.it/27Vw,
15,Titanic,1997,https://boxd.it/2a2k,
16,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
17,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,https://boxd.it/1ZbK,
18,The Wizard of Oz,1939,https://boxd.it/29Xu,
19,Avengers: Infinity War,2018,https://boxd.it/9vEe,
20,Dune,2021,https://boxd.it/fA7G,
