Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-10-16,Movies to watch with Markvs ,,https://boxd.it/iHIMi,These are movies to watch with Markvs

Position,Name,Year,URL,Description
1,Zodiac,2007,https://boxd.it/27MO,
2,The Sound of Music,1965,https://boxd.it/1MLK,
3,Room 237,2012,https://boxd.it/2Y46,
4,Hot Fuzz,2007,https://boxd.it/2416,
5,Tropic Thunder,2008,https://boxd.it/20WM,
6,Boogie Nights,1997,https://boxd.it/23um,
7,Get On Up,2014,https://boxd.it/73bO,
8,Taxi Driver,1976,https://boxd.it/2b8y,
9,Apocalypse Now,1979,https://boxd.it/6ZS,
10,Bronson,2008,https://boxd.it/1GM8,
11,Foxcatcher,2014,https://boxd.it/35Di,
12,Snowpiercer,2013,https://boxd.it/3Icg,
13,Room,2015,https://boxd.it/7T0y,
14,Gone Girl,2014,https://boxd.it/6hQu,
15,What We Do in the Shadows,2014,https://boxd.it/7eQy,
16,Jojo Rabbit,2019,https://boxd.it/iEBG,
17,The Irishman,2019,https://boxd.it/dYOq,
18,12 Years a Slave,2013,https://boxd.it/2D2e,
19,Return to Me,2000,https://boxd.it/26y2,
20,When Harry Met Sally...,1989,https://boxd.it/29W2,
21,Die Hard,1988,https://boxd.it/2a7u,
22,Ocean's Thirteen,2007,https://boxd.it/2aEy,
23,Ocean's Twelve,2004,https://boxd.it/2aZ2,
24,The Death of Stalin,2017,https://boxd.it/ea9Y,
25,Logan,2017,https://boxd.it/7Piy,
26,The Evil Dead,1981,https://boxd.it/29Go,
27,Once Upon a Time in the West,1968,https://boxd.it/2az4,
28,Demolition,2015,https://boxd.it/9GuY,
29,Southpaw,2015,https://boxd.it/9Phu,
30,Jarhead,2005,https://boxd.it/70m,
31,Love & Other Drugs,2010,https://boxd.it/UIi,
32,Ocean's Eleven,2001,https://boxd.it/2aZm,
33,Texas Chainsaw Massacre,2022,https://boxd.it/ns6c,
34,Coraline,2009,https://boxd.it/1NhQ,
35,A Star Is Born,2018,https://boxd.it/aXgc,
36,Young Frankenstein,1974,https://boxd.it/25To,
37,Kramer vs. Kramer,1979,https://boxd.it/h0w,
38,Sinister,2012,https://boxd.it/2TnW,
39,Eraserhead,1977,https://boxd.it/299u,
40,Lost in Translation,2003,https://boxd.it/2b0E,
