Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-12,JXNFC: Michael Tran's 20 Interesting Films,,https://boxd.it/p7UCK,Michael Tran is my manager at C Spire. We chat about movies. Here's a list he thought worth sharing with me.

Position,Name,Year,URL,Description
1,Beyond the Black Rainbow,2010,https://boxd.it/EzY,
2,Boyhood,2014,https://boxd.it/3178,
3,Brazil,1985,https://boxd.it/2be2,
4,Chungking Express,1994,https://boxd.it/1UDa,
5,District 9,2009,https://boxd.it/1Iik,
6,First Reformed,2017,https://boxd.it/go9C,
7,King of California,2007,https://boxd.it/22Hu,
8,Manchester by the Sea,2016,https://boxd.it/b2L0,
9,Martha Marcy May Marlene,2011,https://boxd.it/CJs,
10,Our Idiot Brother,2011,https://boxd.it/hac,
11,Rubber,2010,https://boxd.it/P2m,
12,Stardust,2007,https://boxd.it/272w,
13,Suspiria,1977,https://boxd.it/1SNW,
14,Suspiria,2018,https://boxd.it/cioI,
15,The Act of Killing,2012,https://boxd.it/44Cg,
16,The Fountain,2006,https://boxd.it/28RU,
17,The Love Witch,2016,https://boxd.it/cZie,
18,The Novice,2021,https://boxd.it/uWMc,
19,Thoroughbreds,2017,https://boxd.it/dVHQ,
20,Wendy and Lucy,2008,https://boxd.it/1Zx2,
