Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-12-11,JXNFC: Cody Jenkin's Top 20,top20,https://boxd.it/aqJqG,

Position,Name,Year,URL,Description
1,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
2,Seven Samurai,1954,https://boxd.it/2axi,
3,The Empire Strikes Back,1980,https://boxd.it/27Vw,
4,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
5,The Great Escape,1963,https://boxd.it/22kA,
6,1917,2019,https://boxd.it/jj4y,
7,Blade Runner,1982,https://boxd.it/2bcA,
8,Zodiac,2007,https://boxd.it/27MO,
9,Alien,1979,https://boxd.it/2awY,
10,The Departed,2006,https://boxd.it/28MA,
11,Gangs of New York,2002,https://boxd.it/25FG,
12,Inglourious Basterds,2009,https://boxd.it/1JzG,
13,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
14,Back to the Future,1985,https://boxd.it/2b8e,
15,Jurassic Park,1993,https://boxd.it/2aA2,
16,The Princess Bride,1987,https://boxd.it/26EY,
17,Die Hard,1988,https://boxd.it/2a7u,
18,Psycho,1960,https://boxd.it/2ab2,
19,Gladiator,2000,https://boxd.it/2b9m,
20,Bullitt,1968,https://boxd.it/29i2,
