Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-21,Ari Aster Watch Order,allstats,https://boxd.it/shAko,"This is my recommended order of viewing works created by Ari Aster. It's just a suggestion, not a law."

Position,Name,Year,URL,Description
1,Beau,2011,https://boxd.it/i7Wm,
2,Basically,2014,https://boxd.it/b246,
3,C'est la Vie,2016,https://boxd.it/iXNm,
4,Beau Is Afraid,2023,https://boxd.it/u2gE,
5,Eddington,2025,https://boxd.it/o6MC,
6,Munchausen,2013,https://boxd.it/i7HG,
7,The Turtle's Head,2014,https://boxd.it/j1hu,
8,Hereditary,2018,https://boxd.it/hNVe,
9,The Strange Thing About the Johnsons,2011,https://boxd.it/56nO,
10,Midsommar,2019,https://boxd.it/jhxe,
11,Herman’s Cure-All Tonic,2008,https://boxd.it/MusO,
