Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-06-15,10 Underseen Queer Films to Watch During Pride Month,"top 10, underseen, queer cinema, lgbtqia, lgbtqia+ film, ten underseen queer films, pride 2021, kaiya shunyata, underrated gems",https://boxd.it/cqkM6,"From documentaries about Black lesbian sex workers to low-budget dramas about the AIDS crisis, writer <a href=""https://letterboxd.com/kaiyashunyata/"" rel=""nofollow"">Kaiya Shunyata</a> selects ten underseen queer films that beg to be in the spotlight. 

<i><b>Note from Kaiya, June 2021: </b></i>

Each year, as Pride month rolls around, film lovers showcase their favorite queer films via Twitter threads and Letterboxd lists—but while movies like <i><a href=""https://boxd.it/948A"" rel=""nofollow"">The Handmaiden</a>
</i> (2016) and <i><a href=""https://boxd.it/29bg"" rel=""nofollow"">Dog Day Afternoon</a></i> (1975) are fantastic, there are hundreds more queer films that have gone underseen over the decades. 

In celebration of Pride month, take the time to move beyond the mainstream and appreciate the quietness, audaciousness and tenderness of these ten features. I encourage you to read the notes, then curate your own list of ten underrated queer cinema gems and share them in the comments. 

<i>Kaiya Shunyata is a freelance pop culture journalist based in Canada. They are passionate about Gregg Araki films, queer subtext and music in film.</i>"

Position,Name,Year,URL,Description
1,Shakedown,2018,https://boxd.it/atPc,"Smouldering with heat and unabashed sexuality, Leilah Weinraub’s directorial debut focuses on lesbian dancers in the nineties LA club scene. The documentary is a tender ode to a club frozen in time, and the lives of the women who once inhabited it. <i>Shakedown</i> transports you from the 1990s to the modern day, answering questions about what happened when the club was shut down in the 2000s, and where the dancers' lives have taken them since. It is a shot of adrenaline, the pulsating music thrumming through your head long after the runtime. <i>Shakedown brazenly</i> portrays queerness as something beautiful and communal, and by the end you’re left yearning for the nightlife it showcased."
2,That Certain Summer,1972,https://boxd.it/4yoy,"Proclaimed as the first television broadcast to show gay men in a positive light, <i>That Certain Summer</i> delivers one of the best family dramas in cinematic history. When his 14 year old son decides to visit for the summer, a divorced Doug struggles to find a way to discuss his partnership with Gary with his family. The relationship between Doug and Gary is never made out as a farce, and is always treated as a relationship filled with love, albeit uncertainty. Gay love was finally seen as something the straight masses had no reason to fear, and showed queer audiences that there was space for them on broadcast television."
3,1985,2018,https://boxd.it/i8ke,"Expanded from director Yen Tan’s <a href=""https://boxd.it/dzdO"" rel=""nofollow"">short of the same name</a>, <i><a href=""https://boxd.it/i8ke"" rel=""nofollow"">1985</a></i> follows the shy Adrian who reconnects with his family in Texas after three years living in the city. Shot in black-and-white, the film intimately follows Adrian as he grapples with his past and present and the AIDS crisis sweeping the nation. Yen Tan’s directing paired with Hutch’s cinematography gives the film a documentary feel, and with each emotional beat you’re left feeling heavy-hearted. <i>1985</i> is an ode to queer people who have a complicated relationship with their hometowns and the lives they once lived there."
4,Pink Narcissus,1971,https://boxd.it/WKU,"The artist James Bidgood’s singular <i>Pink Narcissus</i>—production of which was taken from him and released in 1971 under ‘Anonymous’—is described as an “erotic poem,” and there’s no better way to express it. A sensual fever dream, the film oozes sensuality and transports you into a world where sensibility is abandoned, and your inhibitions take over. In the world of <i><a href=""https://boxd.it/WKU"" rel=""nofollow"">Pink Narcissus</a></i>, bodies clash with bodies, and pink and blue are the only colours that exist. 

Experimental queer cinema is a genre commonly left out of the conversation, but this film begs to be seen. The languid fantasy hypnotizes you, visions of sex and freedom ricocheting off the screen. Its blatant disregard for cohesiveness and shame is commendable—it’s a great pity Bidgood, now 88, never completed another film."
5,Song of Love,1950,https://boxd.it/36Om,"The only film the poet and playwright directed, Jean Genet’s experimental <i>Song of Love</i> tells the story of two jailbirds on opposite sides of a prison wall. Desperate for human connection, the pair begin a means of communication through the wall dividing them. Dreams of bodies, faces and armpits consume the two prisoners as they pant and lick the wall, feeling each other through it although they’ve never even touched. Now discoverable on Vimeo, <i>Song of Love</i>, like other films on the list, went unseen for decades. Crafted over 70 years ago, it is still progressive in its display of queerness as filled with passion and resilience."
6,We the Animals,2018,https://boxd.it/hDPq,"Once billed as the “next <i><a href=""https://boxd.it/d6bE"" rel=""nofollow"">Moonlight</a></i>,” Jeremiah Zagar’s tale about a young boy coming of age is just as tender and more abstract. The film follows timid Jonah as he escapes his explosive family life to explore the world around him; enamoured by nature and a young boy who lives in the same town, Jonah discovers what life can be like if you use your imagination. Its jagged editing, suffocating and immersive, also showcases young queerness in the most intimate way. Zagar and the cast perfectly display the complicated family life that many queer people find themselves in, while proposing a life outside of one’s home that’s filled with hope."
7,Tongues Untied,1989,https://boxd.it/3m1g,"Poetry meets film in Marlon Riggs’ manifesto celebrating Black men who love Black men. Riggs’ childhood story is juxtaposed with poet Essex Hemphill’s fluid words, clips of gay men interacting, and Eddie Murphy’s eighties standup. Among other things, Riggs weaves in comedic skits, one detailing the mythos of snapping one's fingers. Rapid in its editing and subversive in its teachings, <i>Tongues Untied</i> is a criminally underrated portrait of Black gay life. Most of all, Riggs translates a type of joy in the film that is hard to find. It’s a joy that seeps through the screen, burrowing into your heart throughout its 55 minutes, and carrying on once it’s over."
