Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-07-28,JXNFC: Ben Wilson's Top 20,top20,https://boxd.it/7xLRm,"Ben's list is in no particular order and includes five films deserving honorable mention. Classics, pop culture phenomenons, indie darlings, thought-provoking cinematic features, buddy comedy. This list has it all."

Position,Name,Year,URL,Description
1,Beauty and the Beast,1991,https://boxd.it/1XhG,
2,Prisoners,2013,https://boxd.it/4E5i,
3,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
4,The Empire Strikes Back,1980,https://boxd.it/27Vw,
5,It Happened One Night,1934,https://boxd.it/25Ng,
6,It's a Wonderful Life,1946,https://boxd.it/28xA,
7,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
8,The Shawshank Redemption,1994,https://boxd.it/2aHi,
9,Lost in Translation,2003,https://boxd.it/2b0E,
10,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
11,Logan,2017,https://boxd.it/7Piy,
12,Avengers: Infinity War,2018,https://boxd.it/9vEe,
13,Avengers: Endgame,2019,https://boxd.it/9vE4,
14,The Sting,1973,https://boxd.it/1Z5s,
15,Toy Story,1995,https://boxd.it/29qA,
16,Atonement,2007,https://boxd.it/24ui,
17,Silver Linings Playbook,2012,https://boxd.it/2TTo,
18,Pocahontas,1995,https://boxd.it/1W2g,
19,Seven Brides for Seven Brothers,1954,https://boxd.it/1JWA,
20,1917,2019,https://boxd.it/jj4y,
21,The Notebook,2004,https://boxd.it/1UNE,
22,21 Jump Street,2012,https://boxd.it/J0,
23,Galaxy Quest,1999,https://boxd.it/29gq,
24,Step Brothers,2008,https://boxd.it/1SsE,
25,The Hangover,2009,https://boxd.it/1GjK,
