Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-03,JXNFC - Animated Features,allstats,https://boxd.it/vfkRk,"This list was the basis of a special podcast episode. Check the link for more

<a href=""https://jxnfilm.club/#animated-features"">https://jxnfilm.club/#animated-features</a>"

Position,Name,Year,URL,Description
1,The Land Before Time,1988,https://boxd.it/1Sr2,"Entered by Michael

This film is my waypoint for consciousness -- I came to an understanding of death emotionally because of this movie. Nothing has ever quite hit the same, to be honest."
2,Rock-A-Doodle,1991,https://boxd.it/1DvS,"Entered by Michael

When my parents would go to their weekly bowling league, I was the kid who would change the TV to <I>Rock-A-Doodle</I> at the childcare center next door."
3,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC,"Entered by Michael
"
4,Princess Mononoke,1997,https://boxd.it/2b4w,"Entered by Michael

This was when I realized that animation is for grownups, and that grownup stories can be told through animation. I love how this changed my imagination. "
5,Spirited Away,2001,https://boxd.it/2b4m,"Entered by Michael

I found this not far from the age of Chihiro. It means a lot to me because I moved twice before the age of 10 and this film teaches about life in its own way, through the eyes of a young person who has been <I>Spirited Away</I>."
6,Samurai Champloo,2004,https://boxd.it/o8go,"Entered by Michael

This anime popped up on Adult Swim, but I never finished the series on the air. Nearly 20 years later, I've finally watched the entirety and absolutely loved the ending. "
7,The Hobbit,1977,https://boxd.it/28UY,Entered by Morgan
8,Heavy Metal,1981,https://boxd.it/1SZI,Entered by Morgan
9,Waking Life,2001,https://boxd.it/1Zdc,Entered by Morgan
10,The Secret of Kells,2009,https://boxd.it/1sMI,Entered by Morgan
11,Wolfwalkers,2020,https://boxd.it/fGrC,Entered by Morgan
