Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-06-21,JXNFC - American Folk Films,,https://boxd.it/5NRIu,"""If it's never new and it never gets old..."""

Position,Name,Year,URL,Description
1,First Cow,2019,https://boxd.it/krga,
2,The Last Black Man in San Francisco,2019,https://boxd.it/iWAw,
3,Hereditary,2018,https://boxd.it/hNVe,
4,First Reformed,2017,https://boxd.it/go9C,
5,Whiplash,2014,https://boxd.it/7bQA,
6,Little Miss Sunshine,2006,https://boxd.it/29EW,
7,Life,2015,https://boxd.it/9wym,
8,Office Space,1999,https://boxd.it/28Em,
9,Lonesome Dove,1989,https://boxd.it/9ymM,
10,Nomadland,2020,https://boxd.it/lnRy,
11,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
12,Pig,2021,https://boxd.it/nzoW,
13,12 Angry Men,1957,https://boxd.it/2auI,
14,Big Fish,2003,https://boxd.it/2a3M,
