Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-16,JXNFC: Morgan Sumner's Honorable Mentions,,https://boxd.it/qU5ic,

Position,Name,Year,URL,Description
1,Apocalypse Now,1979,https://boxd.it/6ZS,
2,This Is Spinal Tap,1984,https://boxd.it/1UOs,
3,The Rules of the Game,1939,https://boxd.it/29Es,
4,Airplane!,1980,https://boxd.it/29yu,
5,The Seventh Seal,1957,https://boxd.it/2ahO,
6,Brazil,1985,https://boxd.it/2be2,
7,Lawrence of Arabia,1962,https://boxd.it/2wRE,
8,Harvey,1950,https://boxd.it/1T5w,
9,Duck Soup,1933,https://boxd.it/25PG,
10,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
11,The Maltese Falcon,1941,https://boxd.it/29c4,
12,Hudson Hawk,1991,https://boxd.it/1Z32,
13,Metropolis,1927,https://boxd.it/71a,
14,Blade Runner,1982,https://boxd.it/2bcA,
15,Braveheart,1995,https://boxd.it/2aTI,
16,M*A*S*H,1970,https://boxd.it/29U6,
17,The Pink Panther,1963,https://boxd.it/29eO,
18,Akira,1988,https://boxd.it/2b1i,
19,The Golden Voyage of Sinbad,1973,https://boxd.it/1HTY,
20,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
21,Written on the Wind,1956,https://boxd.it/2hNM,
22,In the Mouth of Madness,1994,https://boxd.it/26vi,
23,The Agony and the Ecstasy,1965,https://boxd.it/19Lm,
24,Le Samouraï,1967,https://boxd.it/22ZI,
25,History of the World: Part I,1981,https://boxd.it/1WWS,
26,Police Story,1985,https://boxd.it/1Zhe,
27,Hot Fuzz,2007,https://boxd.it/2416,
