Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-11-13,JXNFC: Thad Daniels' Top 20,top20,https://boxd.it/9br0m,

Position,Name,Year,URL,Description
1,Logan,2017,https://boxd.it/7Piy,
2,The Shawshank Redemption,1994,https://boxd.it/2aHi,
3,The Shining,1980,https://boxd.it/29Nu,
4,It's a Wonderful Life,1946,https://boxd.it/28xA,
5,American History X,1998,https://boxd.it/2bdo,
6,The Prestige,2006,https://boxd.it/293w,
7,The Fighter,2010,https://boxd.it/PP4,
8,Rocky,1976,https://boxd.it/28Uk,
9,The Great Escape,1963,https://boxd.it/22kA,
10,50/50,2011,https://boxd.it/10Tw,
11,Braveheart,1995,https://boxd.it/2aTI,
12,Brian's Song,1971,https://boxd.it/1HEY,
13,Fight Club,1999,https://boxd.it/2a9q,
14,A Knight's Tale,2001,https://boxd.it/1YAk,
15,The Lion King,1994,https://boxd.it/201Q,
16,Point Break,1991,https://boxd.it/2958,
17,Unforgiven,1992,https://boxd.it/6Z4,
18,The Count of Monte Cristo,2002,https://boxd.it/1U24,
19,Cool Hand Luke,1967,https://boxd.it/29jY,
20,Primal Fear,1996,https://boxd.it/28ws,
