Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-03,My Criterion Collection Collection,,https://boxd.it/GCEqS,

Position,Name,Year,URL,Description
1,Solaris,1972,https://boxd.it/2a2Y,
2,Perfect Days,2023,https://boxd.it/ATh8,
3,Mirror,1975,https://boxd.it/28Q8,
4,Marriage Story,2019,https://boxd.it/hJAw,
5,The Power of the Dog,2021,https://boxd.it/m99E,
6,Beau Travail,1999,https://boxd.it/1NI8,
7,Raging Bull,1980,https://boxd.it/28yI,
8,The Others,2001,https://boxd.it/27Po,
9,Blood Simple,1984,https://boxd.it/1U16,
10,Sound of Metal,2019,https://boxd.it/i7Q4,
11,The Tree of Life,2011,https://boxd.it/1Zu8,
12,The Seventh Seal,1957,https://boxd.it/2ahO,
13,Funny Games,1997,https://boxd.it/1WKM,
14,Videodrome,1983,https://boxd.it/29uC,
15,Wildlife,2018,https://boxd.it/eKYe,
16,The Celebration,1998,https://boxd.it/2aCM,
17,Before Sunrise,1995,https://boxd.it/2bcU,
18,Before Sunset,2004,https://boxd.it/2bcg,
19,Before Midnight,2013,https://boxd.it/4ive,
20,Do the Right Thing,1989,https://boxd.it/29gA,
21,My Own Private Idaho,1991,https://boxd.it/2ak4,
22,Ikiru,1952,https://boxd.it/251c,
23,Barry Lyndon,1975,https://boxd.it/25A2,
24,After Hours,1985,https://boxd.it/1VfS,
25,Dreams,1990,https://boxd.it/1ROu,
26,In the Mood for Love,2000,https://boxd.it/29tE,
