Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-02-19,Magnolia IFF 2021,"magnoliaiff, yir2021",https://boxd.it/beAWS,"This list has all the festival entries I could find on Letterboxd!

42 films were submitted for a total runtime of 11:38:03.

Get tickets and information about the virtual festival and drive-in festival here: https://themag2021.eventive.org/welcome"

Position,Name,Year,URL,Description
1,Blocks,2020,https://boxd.it/olEI,
2,Anna,2019,https://boxd.it/lYvY,
3,Kapaemahu,2020,https://boxd.it/qFea,
4,The Haunted Swordsman,2019,https://boxd.it/nt9Q,
5,"Gon, the Little Fox",2019,https://boxd.it/olAc,
6,Gabby!,2020,https://boxd.it/qncK,
7,Night Drive,2019,https://boxd.it/nmtu,
8,Benevolent Ba,2020,https://boxd.it/olGY,
9,The Quiet,2019,https://boxd.it/qBzo,
10,Boys & Toys,2020,https://boxd.it/qA66,
11,Alina,2019,https://boxd.it/rTeg,
12,A Family That Steals Dogs,2020,https://boxd.it/sUDS,
13,Moon Drops,2018,https://boxd.it/mxk2,
14,"1, 2, 3, All Eyes On Me",2020,https://boxd.it/sjN2,
15,Dig Another Grave,2019,https://boxd.it/lRcg,
16,Medicating Normal,2020,https://boxd.it/pnWw,
17,Harry Kiri,2019,https://boxd.it/mwxE,
18,Green Grass,2020,https://boxd.it/spUo,
19,The Butterfly Affect,2019,https://boxd.it/qB0S,
20,How to Stop a Recurring Dream,2021,https://boxd.it/sW3s,
21,Beyond the Line,2020,https://boxd.it/sG8m,
22,It's Okay,2020,https://boxd.it/sflS,
23,Let's Eat,2020,https://boxd.it/s5pA,
24,Leave Me Be,2020,https://boxd.it/sCBk,
25,Gone,2020,https://boxd.it/sMKw,
26,Eucharist,2020,https://boxd.it/sCBY,
