Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-06,JXNFC: John’s Top 20,,https://boxd.it/fGlFu,

Position,Name,Year,URL,Description
1,A Knight's Tale,2001,https://boxd.it/1YAk,
2,"Hail, Caesar!",2016,https://boxd.it/881G,
3,My Cousin Vinny,1992,https://boxd.it/1WpO,
4,Liar Liar,1997,https://boxd.it/28sg,
5,Jaws,1975,https://boxd.it/2a5e,
6,Some Like It Hot,1959,https://boxd.it/2aNA,
7,A Quiet Place,2018,https://boxd.it/fVJQ,
8,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
9,Blade Runner,1982,https://boxd.it/2bcA,
10,Blade Runner 2049,2017,https://boxd.it/b8wK,
11,Sorcerer,1977,https://boxd.it/14J6,
12,The Gentlemen,2019,https://boxd.it/iYBQ,
13,Buried,2010,https://boxd.it/1tXC,
14,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
15,Eddie the Eagle,2015,https://boxd.it/amAY,
16,Die Hard,1988,https://boxd.it/2a7u,
17,Edge of Tomorrow,2014,https://boxd.it/4pD0,
18,Wild Mountain Thyme,2020,https://boxd.it/nhok,
19,Afflicted,2013,https://boxd.it/6ipY,
20,Se7en,1995,https://boxd.it/29zs,
