Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-02-25,JXNFC: Christina Spann's Top 20,top20,https://boxd.it/fyyW8,Christina Spann's top 20 favorite movies

Position,Name,Year,URL,Description
1,Phantom Thread,2017,https://boxd.it/e4uc,
2,School of Rock,2003,https://boxd.it/28xK,
3,Matilda,1996,https://boxd.it/1VhY,
4,Troop Beverly Hills,1989,https://boxd.it/1B2Y,
5,Ingrid Goes West,2017,https://boxd.it/evUQ,
6,Four Good Days,2020,https://boxd.it/nP0c,
7,Booksmart,2019,https://boxd.it/igNS,
8,Hustlers,2019,https://boxd.it/jIBM,
9,Hercules,1997,https://boxd.it/1SDW,
10,The Florida Project,2017,https://boxd.it/dMG0,
11,Good Hair,2009,https://boxd.it/1A32,
12,Where the Wild Things Are,2009,https://boxd.it/1K0C,
13,Orphan,2009,https://boxd.it/1CgM,
14,Landline,2017,https://boxd.it/eOYM,
15,The Soloist,2009,https://boxd.it/1IPe,
16,Juno,2007,https://boxd.it/210a,
17,Argo,2012,https://boxd.it/2czU,
18,Little Miss Sunshine,2006,https://boxd.it/29EW,
19,Knives Out,2019,https://boxd.it/jWEA,
20,American Animals,2018,https://boxd.it/hE4K,
21,"Where'd You Go, Bernadette",2019,https://boxd.it/efuC,
22,Monster,2003,https://boxd.it/2afy,
