Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-04-25,My MoviesAnywhere Collection,,https://boxd.it/GlgIu,"<a href=""https://moviesanywhere.com/my-movies"">MoviesAnywhere</a> collection"

Position,Name,Year,URL,Description
1,Gattaca,1997,https://boxd.it/29Du,
2,Oppenheimer,2023,https://boxd.it/wUow,
3,Twelve Monkeys,1995,https://boxd.it/2beQ,
4,Call Me by Your Name,2017,https://boxd.it/dYmm,
5,Monkey Man,2024,https://boxd.it/kvsO,
6,Shrek,2001,https://boxd.it/29zi,
7,Jurassic Park,1993,https://boxd.it/2aA2,
8,Parasite,2019,https://boxd.it/hTha,
9,Dune: Part Two,2024,https://boxd.it/pUfA,
10,Sinners,2025,https://boxd.it/KQMM,
11,The Sixth Sense,1999,https://boxd.it/29Js,
12,Harvey,1950,https://boxd.it/1T5w,
13,Rope,1948,https://boxd.it/28yo,
14,Rear Window,1954,https://boxd.it/2a6Q,
15,All the President's Men,1976,https://boxd.it/29lU,
16,Ben-Hur,1959,https://boxd.it/29RQ,
17,Pride & Prejudice,2005,https://boxd.it/24u8,
18,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
19,The Mummy,1999,https://boxd.it/2a7a,
20,Psycho,1960,https://boxd.it/2ab2,
21,The Fabelmans,2022,https://boxd.it/ugoM,
22,First Man,2018,https://boxd.it/cPym,
23,The Wild Robot,2024,https://boxd.it/IWFy,
24,Nope,2022,https://boxd.it/sDCe,
