Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-02,JXNFC: Jonathan Miles’ Top 20 Films,,https://boxd.it/fCFa4,"Classics, action, comedy, fantasy. This list has a little of everything."

Position,Name,Year,URL,Description
1,The Big Lebowski,1998,https://boxd.it/2b6C,"The greatest film ever made, bar none. Shut the fuck up, Donny"
2,The Nice Guys,2016,https://boxd.it/94Hg,"Just two guys, in way over their heads."
3,There Will Be Blood,2007,https://boxd.it/20Z2,"One of the greatest Method acting performances of all time, although my contention will ever be that Daniel Day-Lewis deserved his second Oscar before this for Gangs of New York."
4,Hell or High Water,2016,https://boxd.it/bfGM,The best Texas noir film since No Country For Old Men.
5,Pride & Prejudice,2005,https://boxd.it/24u8,"A stirringly scored, beautifully shot adaptation of the Austen novel."
6,The Searchers,1956,https://boxd.it/25HC,"A visually brilliant, brutally spectacular film, and the performance that should have won John Wayne his Academy Award, for bitter, racist ex-Confederate Ethan Edwards."
7,Zodiac,2007,https://boxd.it/27MO,David Fincher’s masterpiece. A stacked cast and a case that was never solved.
8,When Harry Met Sally...,1989,https://boxd.it/29W2,The ultimate rom-com
9,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/1XYq,"If you eat the DVD, it tastes like America"
10,Silver Linings Playbook,2012,https://boxd.it/2TTo,Go Birds
11,No Country for Old Men,2007,https://boxd.it/21ew,Cormac McCarthy’s novel takes shape on the big screen in a way few books have.
12,The Big Short,2015,https://boxd.it/ajZw,The evils of the free market economy on full display.
13,Jackie Brown,1997,https://boxd.it/2aVO,A dynamic ensemble cast and an appropriately twisty plot from the novel by Elmore Leonard makes this Tarantino’s best film by a mile.
14,Unforgiven,1992,https://boxd.it/6Z4,"The last great American western. Savage, raw, and brutal."
15,You've Got Mail,1998,https://boxd.it/1Yye,The very first Internet love story.
16,Walk the Line,2005,https://boxd.it/2bdS,A rollicking tale of one of America’s most influential musicians.
17,Fargo,1996,https://boxd.it/2aHM,"This one’s a real pickle, dontcha know?"
18,In the Heat of the Night,1967,https://boxd.it/1VLY,In which Sidney Poitier smacks a bitch
19,Shrek,2001,https://boxd.it/29zi,"As films go, there is Citizen Kane, and then there’s Shrek."
20,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,"A case can be made for all 3 individually, or together, but Return has my heart in a special way because it introduced me to LOTR."
