Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-23,Alex Garland Recommended Viewing Order,,https://boxd.it/HeEBs,This list is my opinion and only mine

Position,Name,Year,URL,Description
1,Ex Machina,2015,https://boxd.it/7T2k,
2,Sunshine,2007,https://boxd.it/28Xy,
3,Annihilation,2018,https://boxd.it/9yzm,
4,Devs,2020,https://boxd.it/ppHI,
5,Dredd,2012,https://boxd.it/GZE,
6,28 Days Later,2002,https://boxd.it/2aXU,
7,Civil War,2024,https://boxd.it/z1jW,
8,Never Let Me Go,2010,https://boxd.it/Xw0,
9,Men,2022,https://boxd.it/tlc0,
