Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-11,Showdown: Keeping the Faith,"showdown:religious, showdown, consensus",https://boxd.it/ek2H4,"Consensus for Showdown № 136: <a href=""https://letterboxd.com/tag/showdown:religious/lists/"" rel=""nofollow"">Keeping the Faith</a> (best religious characters in film)"

Position,Name,Year,URL,Description
1,First Reformed,2017,https://boxd.it/go9C,
2,The Exorcist,1973,https://boxd.it/1Yoo,
3,Silence,2016,https://boxd.it/2cAo,
4,The Night of the Hunter,1955,https://boxd.it/25HW,
5,There Will Be Blood,2007,https://boxd.it/20Z2,
6,Life of Brian,1979,https://boxd.it/2a4q,
7,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
8,The Seventh Seal,1957,https://boxd.it/2ahO,
9,Sister Act,1992,https://boxd.it/27EA,
10,Doubt,2008,https://boxd.it/1OfQ,
11,The Prince of Egypt,1998,https://boxd.it/1XGQ,
12,The Devils,1971,https://boxd.it/1inI,
13,Calvary,2014,https://boxd.it/4WE6,
14,Black Narcissus,1947,https://boxd.it/1Kce,
15,Ida,2013,https://boxd.it/6fRg,
16,Dogma,1999,https://boxd.it/284e,
17,The Sound of Music,1965,https://boxd.it/1MLK,
18,The Blues Brothers,1980,https://boxd.it/2adi,
19,Winter Light,1963,https://boxd.it/1nrU,
20,The Two Popes,2019,https://boxd.it/k8Xk,
