Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-04,JXNFC Science Fiction,,https://boxd.it/5qhM0,A collection of science fiction films that explore deep human elements and struggles

Position,Name,Year,URL,Description
1,I Am Mother,2019,https://boxd.it/ihNE,
2,High Life,2018,https://boxd.it/d6bk,
3,Upgrade,2018,https://boxd.it/i4gW,
4,Annihilation,2018,https://boxd.it/9yzm,
5,Blade Runner 2049,2017,https://boxd.it/b8wK,
6,Her,2013,https://boxd.it/4O24,
7,Melancholia,2011,https://boxd.it/bPI,
8,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
9,Primer,2004,https://boxd.it/6YA,
10,Gattaca,1997,https://boxd.it/29Du,
11,Ex Machina,2015,https://boxd.it/7T2k,
12,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
