Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-10,JXNFC: David Lewis' Top 20,top20,https://boxd.it/8WaUC,

Position,Name,Year,URL,Description
1,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,
2,12 Years a Slave,2013,https://boxd.it/2D2e,
3,La La Land,2016,https://boxd.it/a5fa,
4,Toy Story,1995,https://boxd.it/29qA,
5,Blade Runner,1982,https://boxd.it/2bcA,
6,Aladdin,2019,https://boxd.it/eSjy,
7,The Departed,2006,https://boxd.it/28MA,
8,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
9,The Tree of Life,2011,https://boxd.it/1Zu8,
10,The Way Way Back,2013,https://boxd.it/4Gwq,
11,War Horse,2011,https://boxd.it/nf8,
12,1917,2019,https://boxd.it/jj4y,
13,Black Panther,2018,https://boxd.it/8MHs,
14,Extremely Loud & Incredibly Close,2011,https://boxd.it/Ju,
15,The Greatest Showman,2017,https://boxd.it/acjI,
16,The Lego Movie,2014,https://boxd.it/4pDO,
17,Life of Pi,2012,https://boxd.it/37pC,
18,Lion,2016,https://boxd.it/b2La,
19,Manhattan,1979,https://boxd.it/29Na,
20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
21,The Impossible,2012,https://boxd.it/2N9k,
