Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-21,JXNFC: Luke Vineyard's Top 20,top20,https://boxd.it/dLqHs,"Luke Vineyard, the beloved

Attended one film club event"

Position,Name,Year,URL,Description
1,The Graduate,1967,https://boxd.it/18Im,
2,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
3,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
4,Apocalypse Now,1979,https://boxd.it/6ZS,
5,Moneyball,2011,https://boxd.it/glS,
6,Your Name.,2016,https://boxd.it/cUqs,
7,The Big Short,2015,https://boxd.it/ajZw,
8,Reservoir Dogs,1992,https://boxd.it/2agc,
9,Akira,1988,https://boxd.it/2b1i,
10,Blade Runner,1982,https://boxd.it/2bcA,
11,A Clockwork Orange,1971,https://boxd.it/2aVE,
12,Heat,1995,https://boxd.it/2bg8,
13,There Will Be Blood,2007,https://boxd.it/20Z2,
14,Blue Velvet,1986,https://boxd.it/29BI,
15,Hot Rod,2007,https://boxd.it/1X9C,
16,Y Tu Mamá También,2001,https://boxd.it/28QM,
17,What We Do in the Shadows,2014,https://boxd.it/7eQy,
18,Yi Yi,2000,https://boxd.it/1vCw,
19,Amadeus,1984,https://boxd.it/2aH8,
20,The Wind Rises,2013,https://boxd.it/4JQS,
