Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-19,JXNFC: Michael's Top 20 (2025 REDUX),"top20, topstats",https://boxd.it/kElBI,"Five years ago, I set down my Top 20 Favorites and then started a podcast where I collected other people’s Top 20s and had them talk about it on the internet. This is an updated list, not invalidating the previous Top 20, just memorializing my current Top 20.

If you’re reading this, I’d love to know your Top 20 favorites."

Position,Name,Year,URL,Description
1,The Truman Show,1998,https://boxd.it/18U8,
2,Spirited Away,2001,https://boxd.it/2b4m,
3,Aftersun,2022,https://boxd.it/Arw0,
4,First Reformed,2017,https://boxd.it/go9C,
5,Moonlight,2016,https://boxd.it/d6bE,
6,Dune: Part Two,2024,https://boxd.it/pUfA,
7,Blade Runner 2049,2017,https://boxd.it/b8wK,
8,Sunshine,2007,https://boxd.it/28Xy,
9,Midsommar,2019,https://boxd.it/jhxe,
10,Drive,2011,https://boxd.it/IG,
11,No Country for Old Men,2007,https://boxd.it/21ew,
12,Pride & Prejudice,2005,https://boxd.it/24u8,
13,But I'm a Cheerleader,1999,https://boxd.it/1CW4,
14,Hot Rod,2007,https://boxd.it/1X9C,
15,The Wicker Man,1973,https://boxd.it/1KnG,
16,The Fabelmans,2022,https://boxd.it/ugoM,
17,Hackers,1995,https://boxd.it/1WhU,
18,Babylon,2022,https://boxd.it/mM02,
19,Network,1976,https://boxd.it/1VqG,
20,Her,2013,https://boxd.it/4O24,
