Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-12-06,JXNFC: Mark Goins’ Top 20,top20,https://boxd.it/eh1ui,"<blockquote>
These are the films that have influenced me throughout my life, from the ages of 0 to today. I consider them to be my most rewatchable films of all time. 
I’m sure this list will change, but this is it right now.


And yes, LOTR is one movie. No question.
</blockquote>"

Position,Name,Year,URL,Description
1,The Mask of Zorro,1998,https://boxd.it/1YVi,
2,The Prestige,2006,https://boxd.it/293w,
3,Spider-Man,2002,https://boxd.it/2a8i,
4,Spider-Man 2,2004,https://boxd.it/2a88,
5,The Social Network,2010,https://boxd.it/17ue,
6,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
7,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
8,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
9,The Godfather,1972,https://boxd.it/2aNK,
10,The Godfather Part II,1974,https://boxd.it/2aNq,
11,Tenet,2020,https://boxd.it/leq4,
12,Moneyball,2011,https://boxd.it/glS,
13,Interstellar,2014,https://boxd.it/4VZ8,
14,No Country for Old Men,2007,https://boxd.it/21ew,
15,Prisoners,2013,https://boxd.it/4E5i,
16,Zodiac,2007,https://boxd.it/27MO,
17,Good Will Hunting,1997,https://boxd.it/2ahY,
18,The Karate Kid,1984,https://boxd.it/27Wk,
19,The Shining,1980,https://boxd.it/29Nu,
20,Whiplash,2014,https://boxd.it/7bQA,
21,The Dark Knight,2008,https://boxd.it/2b0k,
22,About Time,2013,https://boxd.it/43bI,
