Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-24,Lifetime Entries - 1940s,,https://boxd.it/PIyVo,

Position,Name,Year,URL,Description
1,Casablanca,1942,https://boxd.it/2aG0,
2,Meshes of the Afternoon,1943,https://boxd.it/1sEE,
3,Arsenic and Old Lace,1944,https://boxd.it/2aRW,
4,"Rome, Open City",1945,https://boxd.it/2aD6,
5,The Spiral Staircase,1946,https://boxd.it/1rLY,
6,Black Narcissus,1947,https://boxd.it/1Kce,
7,Rope,1948,https://boxd.it/28yo,
8,Goofy Gymnastics,1949,https://boxd.it/77s,
