Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-09-01,Robert Pattinson Completionist Ranking,"yir2021, allstats, yir2022",https://boxd.it/dfn8K,"I will be converting this list to a Ranked List when I reach 100% completion of viewing Robert Pattinson's filmography. 

Current progress: 50%"

Position,Name,Year,URL,Description
1,The Lighthouse,2019,https://boxd.it/icFU,
2,Fear & Shame,2017,https://boxd.it/gQLu,
3,Mickey 17,2025,https://boxd.it/q1Dk,
4,The Batman,2022,https://boxd.it/eDGs,
5,Good Time,2017,https://boxd.it/fcFu,
6,Cosmopolis,2012,https://boxd.it/H4O,
7,High Life,2018,https://boxd.it/d6bk,
8,Tenet,2020,https://boxd.it/leq4,
9,The Rover,2014,https://boxd.it/4WCY,
10,Life,2015,https://boxd.it/9wym,
11,The Lost City of Z,2016,https://boxd.it/a7jS,
12,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
13,Twilight,2008,https://boxd.it/1Zui,
14,The Devil All the Time,2020,https://boxd.it/i2tY,
15,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,
16,The King,2019,https://boxd.it/ieZs,
17,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,
18,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC,
19,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,
20,Remember Me,2010,https://boxd.it/1zyI,
21,Maps to the Stars,2014,https://boxd.it/4WCu,
22,Water for Elephants,2011,https://boxd.it/r02,
23,Damsel,2018,https://boxd.it/eBqs,
24,The Childhood of a Leader,2015,https://boxd.it/aRce,
25,Waiting for the Barbarians,2019,https://boxd.it/igTw,
26,Vanity Fair,2004,https://boxd.it/1Tng,
27,Queen of the Desert,2015,https://boxd.it/4WD8,
28,Bel Ami,2012,https://boxd.it/33Yo,
29,Little Ashes,2008,https://boxd.it/1jp6,
30,The Lighthouse: A Dark & Stormy Tale,2020,https://boxd.it/p7bE,
31,Meet the Filmmakers: Josh and Benny Safdie,2017,https://boxd.it/hjiG,
32,How to Be,2008,https://boxd.it/1EEc,
33,The Haunted Airman,2006,https://boxd.it/1BNg,
34,The Bad Mother's Handbook,2007,https://boxd.it/DPm,
35,Ring of the Nibelungs,2004,https://boxd.it/MFFa,
36,Love and Distrust,2010,https://boxd.it/HBe,
37,Looking at the World in a New Way: The Making of ‘Tenet’,2020,https://boxd.it/Ssn0,
38,The Summer House,2010,https://boxd.it/gjuK,
39,Untitled The Batman Sequel,2027,https://boxd.it/umDy,
40,Something Elemental: Making 'The Rover',2014,https://boxd.it/nOts,
41,Vengeance in the Making,2022,https://boxd.it/FaSy,
42,The Pure and the Damned: 'Good Time',2017,https://boxd.it/AP2e,
43,Vengeance in the Making,2022,https://boxd.it/FaSy,
44,Werner Herzog: Radical Dreamer,2022,https://boxd.it/Cqzm,
45,The Odyssey,2026,https://boxd.it/QFQU,
46,Die My Love,2025,https://boxd.it/D5cI,
47,The Drama,2026,https://boxd.it/OA2w,
48,Citizens of Cosmopolis,2012,https://boxd.it/8pfU,
