Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-04-22,JXNFC: Michael Lamb's Top 20 (2020),"top20, topstats",https://boxd.it/5ka5G,Michael loves rewatching movies. Those movies become his favorites. Those favorites make up this list.

Position,Name,Year,URL,Description
1,The Truman Show,1998,https://boxd.it/18U8,
2,Spirited Away,2001,https://boxd.it/2b4m,
3,Princess Mononoke,1997,https://boxd.it/2b4w,
4,First Reformed,2017,https://boxd.it/go9C,
5,Moonlight,2016,https://boxd.it/d6bE,
6,Hereditary,2018,https://boxd.it/hNVe,
7,Ex Machina,2015,https://boxd.it/7T2k,
8,Blade Runner 2049,2017,https://boxd.it/b8wK,
9,Midsommar,2019,https://boxd.it/jhxe,
10,Manchester by the Sea,2016,https://boxd.it/b2L0,
11,Drive,2011,https://boxd.it/IG,
12,No Country for Old Men,2007,https://boxd.it/21ew,
13,Pride & Prejudice,2005,https://boxd.it/24u8,
14,Mary and Max,2009,https://boxd.it/1y2m,
15,Bo Burnham: What.,2013,https://boxd.it/7au4,
16,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
17,Sound of Metal,2019,https://boxd.it/i7Q4,
18,Knives Out,2019,https://boxd.it/jWEA,
19,Her,2013,https://boxd.it/4O24,
20,Inception,2010,https://boxd.it/1skk,
