Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-06,JXNFC: Eric Anderson's Top 20,,https://boxd.it/5rGAA,"Eric's top 20

Yes it's 24 movies, he counts all three Lord of the Rings films as his number 1. The final two entries are honorable mentions."

Position,Name,Year,URL,Description
1,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
2,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
3,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
4,The Matrix,1999,https://boxd.it/2a1m,
5,The Dark Knight,2008,https://boxd.it/2b0k,
6,The Godfather,1972,https://boxd.it/2aNK,
7,12 Angry Men,1997,https://boxd.it/1Sg4,
8,3:10 to Yuma,2007,https://boxd.it/23g0,
9,The Prestige,2006,https://boxd.it/293w,
10,No Country for Old Men,2007,https://boxd.it/21ew,
11,Lawrence of Arabia,1962,https://boxd.it/2wRE,
12,The Shawshank Redemption,1994,https://boxd.it/2aHi,
13,Pulp Fiction,1994,https://boxd.it/29Pq,
14,Avengers: Infinity War,2018,https://boxd.it/9vEe,
15,Gladiator,2000,https://boxd.it/2b9m,
16,The Departed,2006,https://boxd.it/28MA,
17,Whiplash,2014,https://boxd.it/7bQA,
18,Logan,2017,https://boxd.it/7Piy,
19,GoodFellas,1990,https://boxd.it/29FA,
20,V for Vendetta,2005,https://boxd.it/29Ik,
21,The Big Lebowski,1998,https://boxd.it/2b6C,
22,About Time,2013,https://boxd.it/43bI,
23,Prisoners,2013,https://boxd.it/4E5i,
24,Saving Private Ryan,1998,https://boxd.it/29ro,
