Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-04-14,JXNFC: Brennan White’s Top 20,,https://boxd.it/gbwC4,"<b>The top 20 films that I enjoy watching, not necessarily what I believe to be the “best” movies made.</b>"

Position,Name,Year,URL,Description
1,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
2,Good Will Hunting,1997,https://boxd.it/2ahY,
3,The Shawshank Redemption,1994,https://boxd.it/2aHi,
4,Reservoir Dogs,1992,https://boxd.it/2agc,
5,Sleepless in Seattle,1993,https://boxd.it/29re,
6,Submarine,2010,https://boxd.it/H4a,
7,About Time,2013,https://boxd.it/43bI,
8,Charlie Countryman,2013,https://boxd.it/YYE,
9,Belfast,2021,https://boxd.it/tefG,
10,Elizabethtown,2005,https://boxd.it/1Ydq,
11,The Truman Show,1998,https://boxd.it/18U8,
12,Inception,2010,https://boxd.it/1skk,
13,Groundhog Day,1993,https://boxd.it/2b3e,
14,Little Miss Sunshine,2006,https://boxd.it/29EW,
15,Interstellar,2014,https://boxd.it/4VZ8,
16,Up,2009,https://boxd.it/1OEc,
17,(500) Days of Summer,2009,https://boxd.it/1EmM,
18,Almost Famous,2000,https://boxd.it/29CQ,
19,Stranger Than Fiction,2006,https://boxd.it/28Za,
20,Garden State,2004,https://boxd.it/2asW,
