Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-12-16,JXNFC: Morgan Sumner's Top 20,top20,https://boxd.it/qU4WU,

Position,Name,Year,URL,Description
1,Seven Samurai,1954,https://boxd.it/2axi,
2,Conan the Barbarian,1982,https://boxd.it/1YOm,
3,Big Trouble in Little China,1986,https://boxd.it/21em,
4,Rebecca,1940,https://boxd.it/2aQa,
5,Singin' in the Rain,1952,https://boxd.it/29oY,
6,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
7,Blazing Saddles,1974,https://boxd.it/1UHQ,
8,Throne of Blood,1957,https://boxd.it/251w,
9,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
10,Le Cercle Rouge,1970,https://boxd.it/1Tjy,
11,The Empire Strikes Back,1980,https://boxd.it/27Vw,
12,Clerks,1994,https://boxd.it/2706,
13,Princess Mononoke,1997,https://boxd.it/2b4w,
14,WALL·E,2008,https://boxd.it/1VEo,
15,The Third Man,1949,https://boxd.it/294E,
16,Once Upon a Time in the West,1968,https://boxd.it/2az4,
17,The Man Who Shot Liberty Valance,1962,https://boxd.it/1Tdg,
18,The Big Lebowski,1998,https://boxd.it/2b6C,
19,Trainspotting,1996,https://boxd.it/29XY,
20,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
