Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-10-01,JXNFC: Jake Sullivan’s Top 20,,https://boxd.it/dxXlQ,

Position,Name,Year,URL,Description
1,Cool Hand Luke,1967,https://boxd.it/29jY,"A crash course in humanity. 

""No man can eat 50 eggs."""
2,The Godfather,1972,https://boxd.it/2aNK,A crash course in film. Perfect in every aspect.
3,Blood Simple,1984,https://boxd.it/1U16,#3 is a revolving door of Coen films. This spot belongs to whichever I'm feeling the most on a given day. Their debut is underappreciated and seems like an appropriate placeholder.
4,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/29Vy,Every top 20 should have a western. And the best westerns are about bucking authority and beating the odds.
5,The Truman Show,1998,https://boxd.it/18U8,My life is definitely not filled by paid actors. But my brain thinks it might be.
6,Big Night,1996,https://boxd.it/1HnI,"The movie that taught me to appreciate food. And business. And Louie Prima.

""Bite your teeth into the ass of life."""
7,White Men Can't Jump,1992,https://boxd.it/1WWy,Iconic 90s.
8,Thicker Than Water,2000,https://boxd.it/1AP6,"When I am wistful, surf docs settle my soul. This one is my go to."
9,Good Will Hunting,1997,https://boxd.it/2ahY,Robin Williams at his very best and most vulnerable. RIP.
10,Attack the Block,2011,https://boxd.it/hFO,Pure fun. Easily my favorite monster movie.
11,Office Space,1999,https://boxd.it/28Em,Because I'm as much GenX as I am millennial.
12,Gladiator,2000,https://boxd.it/2b9m,"A ""guy"" movie that's also a great film."
13,The Raid,2011,https://boxd.it/3hBy,Unmatched fight choreography in creativity and execution.
14,Legally Blonde,2001,https://boxd.it/1ZNa,It's less of a chick flick than you think.
15,Bull Durham,1988,https://boxd.it/2wS8,It's more of a chick flick than you think.
16,The Color of Money,1986,https://boxd.it/1SSM,Newman and Cruise hustling smoky pool halls. Very cool.
17,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,Only when enjoyed with a crowd that knows the audience's parts. Preferably on or near Halloween.
18,Snatch,2000,https://boxd.it/2b7U,Peak Guy Ritchie
19,He Got Game,1998,https://boxd.it/1YBs,Ray Allen's jump shot is so pretty Spike Lee based a movie around it.
20,We Were Soldiers,2002,https://boxd.it/1VSA,Every top 20 should have a war movie. And I love Sam Elliott.
