Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-03-15,Recommended for Will Storey,,https://boxd.it/F6wxe,

Position,Name,Year,URL,Description
1,Longlegs,2024,https://boxd.it/KzLM,
2,How to Blow Up a Pipeline,2022,https://boxd.it/C69e,
3,All My Friends Hate Me,2021,https://boxd.it/uWPK,
4,Devs,2020,https://boxd.it/ppHI,
5,Little Monsters,2019,https://boxd.it/iarm,
6,Donnie Darko,2001,https://boxd.it/2b2A,
7,Little Miss Sunshine,2006,https://boxd.it/29EW,
8,The Truman Show,1998,https://boxd.it/18U8,
9,Say Anything...,1989,https://boxd.it/27B2,
10,Sorry to Bother You,2018,https://boxd.it/f21E,
