Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-12,JXNFC: Matthew Lewis' Top 20 [OBSOLETE],top20,https://boxd.it/8XgoE,A list of the films that have left the greatest impact

Position,Name,Year,URL,Description
1,The Dark Knight,2008,https://boxd.it/2b0k,
2,Interstellar,2014,https://boxd.it/4VZ8,
3,Inception,2010,https://boxd.it/1skk,
4,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
5,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
6,Django Unchained,2012,https://boxd.it/2cCk,
7,Knives Out,2019,https://boxd.it/jWEA,
8,Helvetica,2007,https://boxd.it/1Qn8,
9,1917,2019,https://boxd.it/jj4y,
10,Star Wars,1977,https://boxd.it/72s,
11,Hereditary,2018,https://boxd.it/hNVe,
12,Manchester by the Sea,2016,https://boxd.it/b2L0,
13,Parasite,2019,https://boxd.it/hTha,
14,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
15,Return of the Jedi,1983,https://boxd.it/27Vm,
16,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
17,Finding Nemo,2003,https://boxd.it/72i,
18,"Monsters, Inc.",2001,https://boxd.it/2a46,
19,Gladiator,2000,https://boxd.it/2b9m,
20,National Treasure,2004,https://boxd.it/27x0,
