Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-30,Big Al’s Disney Movies,,https://boxd.it/gN0CW,

Position,Name,Year,URL,Description
1,Air Bud,1997,https://boxd.it/1CYY,
2,Air Bud: Golden Receiver,1998,https://boxd.it/1BxW,
3,Air Bud: World Pup,2000,https://boxd.it/1CYa,
4,Air Bud: Seventh Inning Fetch,2002,https://boxd.it/1BM8,
5,Air Bud: Spikes Back,2003,https://boxd.it/1wYy,
6,Santa Buddies,2009,https://boxd.it/1wTo,
7,Snow Buddies,2008,https://boxd.it/1OQC,
8,Super Buddies,2013,https://boxd.it/4JMw,
9,Space Buddies,2009,https://boxd.it/1NsO,
10,Treasure Buddies,2012,https://boxd.it/2HNo,
11,Air Buddies,2006,https://boxd.it/1XoM,
12,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,
13,Atlantis: Milo's Return,2003,https://boxd.it/1Zus,
14,Toy Story,1995,https://boxd.it/29qA,
15,Toy Story 2,1999,https://boxd.it/29qq,
16,Toy Story 3,2010,https://boxd.it/1WRe,
17,Toy Story 4,2019,https://boxd.it/9ALu,
18,The Incredibles,2004,https://boxd.it/1XLm,
19,Incredibles 2,2018,https://boxd.it/7IPg,
20,Homeward Bound: The Incredible Journey,1993,https://boxd.it/21lM,
21,Homeward Bound II: Lost in San Francisco,1996,https://boxd.it/1wu4,
22,Star Wars,1977,https://boxd.it/72s,
23,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
24,The Empire Strikes Back,1980,https://boxd.it/27Vw,
25,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
26,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
27,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,
28,Return of the Jedi,1983,https://boxd.it/27Vm,
29,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
30,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
31,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
32,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,
33,Star Wars: The Clone Wars,2008,https://boxd.it/1Sly,
